puma_geoid,tract_geoid
79500US0607315,14000US06073008702
79500US0607315,14000US06073008513
79500US0607315,14000US06073008600
79500US0607315,14000US06073008800
79500US0607315,14000US06073008901
79500US0607315,14000US06073009000
79500US0607315,14000US06073009101
79500US0607315,14000US06073000500
79500US0607315,14000US06073000400
79500US0607315,14000US06073007600
79500US0607315,14000US06073001000
79500US0607315,14000US06073001100
79500US0607315,14000US06073008902
79500US0607315,14000US06073008313
79500US0607315,14000US06073001900
79500US0607315,14000US06073002001
79500US0607315,14000US06073009509
79500US0607315,14000US06073008310
79500US0607315,14000US06073009103
79500US0607315,14000US06073006500
79500US0607315,14000US06073009502
79500US0607315,14000US06073009400
79500US0607315,14000US06073000100
79500US0607315,14000US06073009102
79500US0607315,14000US06073009107
79500US0607315,14000US06073009106
79500US0607315,14000US06073009104
79500US0607315,14000US06073009301
79500US0607315,14000US06073009201
79500US0607315,14000US06073009603
79500US0607315,14000US06073008306
79500US0607315,14000US06073008301
79500US0607315,14000US06073008307
79500US0607315,14000US06073008511
79500US0607315,14000US06073007800
79500US0607315,14000US06073008503
79500US0607315,14000US06073009304
79500US0607315,14000US06073009202
79500US0607315,14000US06073008501
79500US0607315,14000US06073009305
79500US0607315,14000US06073009510
79500US0607315,14000US06073009306
79500US0607315,14000US06073000201
79500US0607315,14000US06073009511
79500US0607313,14000US06073015701
79500US0607313,14000US06073015601
79500US0607313,14000US06073015901
79500US0607313,14000US06073015902
79500US0607313,14000US06073015801
79500US0607313,14000US06073016000
79500US0607313,14000US06073016202
79500US0607313,14000US06073016302
79500US0607313,14000US06073016301
79500US0607313,14000US06073016401
79500US0607313,14000US06073016100
79500US0607313,14000US06073016502
79500US0607313,14000US06073015403
79500US0607313,14000US06073009505
79500US0607313,14000US06073015703
79500US0607313,14000US06073013604
79500US0607313,14000US06073015704
79500US0607313,14000US06073009504
79500US0607313,14000US06073016806
79500US0607313,14000US06073015802
79500US0607313,14000US06073009802
79500US0607313,14000US06073015200
79500US0607313,14000US06073015405
79500US0607313,14000US06073016605
79500US0607313,14000US06073016809
79500US0607313,14000US06073016901
79500US0607313,14000US06073015301
79500US0607313,14000US06073015000
79500US0607313,14000US06073015100
79500US0607313,14000US06073016608
79500US0607313,14000US06073016609
79500US0607313,14000US06073016701
79500US0607313,14000US06073013605
79500US0607313,14000US06073015406
79500US0607313,14000US06073016702
79500US0607313,14000US06073015501
79500US0607313,14000US06073021303
79500US0607313,14000US06073015602
79500US0607313,14000US06073016807
79500US0607313,14000US06073016616
79500US0607313,14000US06073016610
79500US0607313,14000US06073016613
79500US0607313,14000US06073016612
79500US0607313,14000US06073016614
79500US0607313,14000US06073016615
79500US0607313,14000US06073016617
79500US0607313,14000US06073016402
79500US0607313,14000US06073009804
79500US0607313,14000US06073009805
79500US0607313,14000US06073013601
79500US0607313,14000US06073016201
79500US0607313,14000US06073015302
79500US0607313,14000US06073016606
79500US0607313,14000US06073016503
79500US0607313,14000US06073016504
79500US0607313,14000US06073015404
79500US0607313,14000US06073016607
79500US0607314,14000US06073016000
79500US0607314,14000US06073016100
79500US0607314,14000US06073002903
79500US0607314,14000US06073002902
79500US0607314,14000US06073017045
